ProspectID,LeadOrigin,LeadSource,TotalVisits,TotalTime,PageViews,Specialization,Occupation,Converted
55e52c85-acf4-4e5d-bd01-d11b9149285a,Landing Page Submission,bing,3,138,3,Operations Management,Unemployed,0
35a60e02-0d64-431a-9b28-c3167a382503,Landing Page Submission,bing,3,399,3,Media and Advertising,Unemployed,1
f4d1d5db-58fb-4615-83ed-e7e67bee9a87,API,bing,2,88,1,Select,Unemployed,0
323869bb-fc3a-4733-bdd3-ab0dda36c0a4,API,bing,1,153,1,,Other,0
c6ad51b0-8593-4cb3-88e3-f07965f655ad,API,bing,1,458,1,,Other,0
58afb3e7-62f2-444b-b2e4-afba0d546964,API,bing,3,358,3,,Other,0
ca1bf6bc-2fcf-4779-bdbe-cbf6f3f4c5e4,Landing Page Submission,bing,4,677,4,Business Administration,Other,0
984edf60-b0d6-4909-afe5-201ace5ef839,Lead Add Form,bing,15,1108,3,Human Resource Management,Unemployed,1
ac728b18-04da-4c04-bc89-a3b568d4a40b,Lead Add Form,bing,0,0,0,Finance Management,Unemployed,1
552b1b02-61c1-4827-ada5-7c8ead795713,Lead Add Form,bing,2,928,2,Human Resource Management,Unemployed,1
8d3a7b0b-fdc2-47d9-b99a-59f11666e4dd,Lead Add Form,bing,0,0,0,Human Resource Management,Unemployed,0
25f52229-3a84-47f2-bc3d-276e9131481c,Landing Page Submission,Direct Traffic,4,709,2,,Working Professional,0
80092c24-d698-4cc1-a59c-6e669b7da2ca,Landing Page Submission,Direct Traffic,2,861,2,Healthcare Management,Unemployed,1
d9afdda0-9315-4827-8db9-8ca0cc6081c4,API,Direct Traffic,10,1082,3.33,Marketing Management,Other,0
00fd9191-ba69-48be-8f21-e50b89802b0b,Landing Page Submission,Direct Traffic,3,1231,3,Finance Management,Other,0
8551791d-f446-47dc-ac2b-00bc81e1ab75,Landing Page Submission,Direct Traffic,8,362,2.67,Marketing Management,Other,0
7b0e60bb-1afc-4225-bbd6-ff637c64f1f9,Landing Page Submission,Direct Traffic,5,1006,2.5,Marketing Management,Other,1
f511bf84-fac6-47ce-8720-ba233d63bc62,Landing Page Submission,Direct Traffic,8,1032,8,Business Administration,Other,1
bba74319-eb8b-4eff-8d8e-70043b97fb00,Landing Page Submission,Direct Traffic,18,239,3,Operations Management,Other,1
6da5be9f-3f34-4dc7-9e30-7c26d030372e,Landing Page Submission,Direct Traffic,6,1679,6,Business Administration,Other,0
8cc8c611-a219-4f35-ad23-fdfd2656bd8a,Landing Page Submission,Direct Traffic,2,1532,2,Business Administration,Student,1
8247051c-f838-4a41-b39c-1f0b44c3d5e6,Landing Page Submission,Direct Traffic,5,182,5,Select,Student,0
0e03892b-a2de-4246-8f74-c1ce2796dc59,Landing Page Submission,Direct Traffic,1,891,1,Operations Management,Student,1
f70306c2-ad37-4c22-89c6-7209d730887b,Landing Page Submission,Direct Traffic,6,263,6,Human Resource Management,Student,0
6775174e-d36f-411f-a634-4378e4281854,Landing Page Submission,Direct Traffic,3,257,1.5,International Business,Student,1
417b38e7-9ed3-4213-b168-4188effb4458,Landing Page Submission,Direct Traffic,3,184,1.5,Select,Student,0
9b7806f0-5656-40c6-a51b-77e8eb459539,Landing Page Submission,Direct Traffic,4,664,2,Business Administration,Student,1
553dd3ce-4d54-49c5-a1f9-ae8f448e32bf,Landing Page Submission,Direct Traffic,2,326,2,Business Administration,Student,0
3ad5e561-1b7d-464a-bf92-f1ba298e8de8,Landing Page Submission,Direct Traffic,2,447,2,Finance Management,Student,0
